shape  inj_point size  dt  physics_upsampling  t0  t_inj level t_rise t_fall 
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10755235 158 6 5
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  11129349 1084 10 10
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  11140565 661 15 11
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  11083672 1610 9 19
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10533049 2468 10 16
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  11048939 4559 18 12
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10681329 679 13 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  11139001 3638 12 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10376759 3869 15 16
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10413460 3044 14 7
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10398917 329 6 7
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10867781 3618 12 10
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  11008634 1015 5 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10528265 2807 19 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10405868 1568 8 19
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  11118880 4660 19 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  11224749 2820 15 17
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10642444 707 14 11
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10904502 3915 8 6
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10798717 852 6 11
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  11067707 4125 12 7
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  11200281 2749 15 19
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10919068 790 11 17
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10522304 532 9 14
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  11022015 3904 12 6
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10851036 3496 10 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10470374 171 8 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  11217563 1404 11 12
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10418068 2334 17 17
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10853265 4450 19 18
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10667754 4332 19 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  11092143 3429 9 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  11132803 4829 11 11
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10626140 3311 16 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10703433 1843 5 11
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10763939 3615 12 11
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  11019054 4569 12 6
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10844346 3006 11 17
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10479395 4057 16 10
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10563705 4644 12 14
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10958077 4550 9 19
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10761354 1797 6 19
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  10496132 4313 15 12
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10474266 2122 15 8
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10533617 3827 14 10
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10941532 1895 6 18
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10821884 1855 9 5
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10446552 2070 13 6
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  11014161 4687 14 6
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10990330 2164 5 7
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10713239 4628 15 13
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  11104337 440 14 12
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10459677 1990 18 12
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  11176479 4332 12 15
